"REF_DATE","GEO","DGUID","Trade","Domain","Trading partner","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2016A000011124","Imports from","Performing arts","All trading partners","Canadian dollars","47","millions","6","v122689419","1.1.8.1","1175.6","","","","1"
"2023","Canada","2016A000011124","Imports from","Performing arts","All trading partners","Canadian dollars","47","millions","6","v122689419","1.1.8.1","1528.7","","","","1"
"2019","Canada","2016A000011124","Imports from","Festivals and celebrations","All trading partners","Canadian dollars","47","millions","6","v122689460","1.1.9.1","85.2","","","","1"
"2020","Canada","2016A000011124","Imports from","Festivals and celebrations","All trading partners","Canadian dollars","47","millions","6","v122689460","1.1.9.1","36.2","","","","1"
"2021","Canada","2016A000011124","Imports from","Festivals and celebrations","All trading partners","Canadian dollars","47","millions","6","v122689460","1.1.9.1","34.7","","","","1"
"2022","Canada","2016A000011124","Imports from","Festivals and celebrations","All trading partners","Canadian dollars","47","millions","6","v122689460","1.1.9.1","73.8","","","","1"
"2023","Canada","2016A000011124","Imports from","Festivals and celebrations","All trading partners","Canadian dollars","47","millions","6","v122689460","1.1.9.1","91.8","","","","1"
"2019","Canada","2016A000011124","Imports from","Visual and applied arts","All trading partners","Canadian dollars","47","millions","6","v122689501","1.1.10.1","7327.0","","","","1"
"2020","Canada","2016A000011124","Imports from","Visual and applied arts","All trading partners","Canadian dollars","47","millions","6","v122689501","1.1.10.1","7880.3","","","","1"
"2021","Canada","2016A000011124","Imports from","Visual and applied arts","All trading partners","Canadian dollars","47","millions","6","v122689501","1.1.10.1","9358.6","","","","1"
"2022","Canada","2016A000011124","Imports from","Visual and applied arts","All trading partners","Canadian dollars","47","millions","6","v122689501","1.1.10.1","11254.2","","","","1"
"2023","Canada","2016A000011124","Imports from","Visual and applied arts","All trading partners","Canadian dollars","47","millions","6","v122689501","1.1.10.1","11488.6","","","","1"
"2019","Canada","2016A000011124","Imports from","Original visual art","All trading partners","Canadian dollars","47","millions","6","v122689542","1.1.11.1","100.7","","","","1"
"2020","Canada","2016A000011124","Imports from","Original visual art","All trading partners","Canadian dollars","47","millions","6","v122689542","1.1.11.1","68.6","","","","1"
"2021","Canada","2016A000011124","Imports from","Original visual art","All trading partners","Canadian dollars","47","millions","6","v122689542","1.1.11.1","74.2","","","","1"
"2022","Canada","2016A000011124","Imports from","Original visual art","All trading partners","Canadian dollars","47","millions","6","v122689542","1.1.11.1","100.2","","","","1"
"2023","Canada","2016A000011124","Imports from","Original visual art","All trading partners","Canadian dollars","47","millions","6","v122689542","1.1.11.1","104.5","","","","1"
"2019","Canada","2016A000011124","Imports from","Art reproductions","All trading partners","Canadian dollars","47","millions","6","v122689583","1.1.12.1","0.7","","","","1"
"2020","Canada","2016A000011124","Imports from","Art reproductions","All trading partners","Canadian dollars","47","millions","6","v122689583","1.1.12.1","0.7","","","","1"
"2021","Canada","2016A000011124","Imports from","Art reproductions","All trading partners","Canadian dollars","47","millions","6","v122689583","1.1.12.1","0.7","","","","1"
"2022","Canada","2016A000011124","Imports from","Art reproductions","All trading partners","Canadian dollars","47","millions","6","v122689583","1.1.12.1","0.8","","","","1"
"2023","Canada","2016A000011124","Imports from","Art reproductions","All trading partners","Canadian dollars","47","millions","6","v122689583","1.1.12.1","0.7","","","","1"
"2019","Canada","2016A000011124","Imports from","Photography","All trading partners","Canadian dollars","47","millions","6","v122689624","1.1.13.1","48.4","","","","1"
"2020","Canada","2016A000011124","Imports from","Photography","All trading partners","Canadian dollars","47","millions","6","v122689624","1.1.13.1","205.5","","","","1"
"2021","Canada","2016A000011124","Imports from","Photography","All trading partners","Canadian dollars","47","millions","6","v122689624","1.1.13.1","275.3","","","","1"
"2022","Canada","2016A000011124","Imports from","Photography","All trading partners","Canadian dollars","47","millions","6","v122689624","1.1.13.1","276.8","","","","1"
"2023","Canada","2016A000011124","Imports from","Photography","All trading partners","Canadian dollars","47","millions","6","v122689624","1.1.13.1","288.1","","","","1"
"2019","Canada","2016A000011124","Imports from","Crafts","All trading partners","Canadian dollars","47","millions","6","v122689665","1.1.14.1","4987.3","","","","1"
"2020","Canada","2016A000011124","Imports from","Crafts","All trading partners","Canadian dollars","47","millions","6","v122689665","1.1.14.1","4431.8","","","","1"
"2021","Canada","2016A000011124","Imports from","Crafts","All trading partners","Canadian dollars","47","millions","6","v122689665","1.1.14.1","5039.5","","","","1"
"2022","Canada","2016A000011124","Imports from","Crafts","All trading partners","Canadian dollars","47","millions","6","v122689665","1.1.14.1","6396.8","","","","1"
"2023","Canada","2016A000011124","Imports from","Crafts","All trading partners","Canadian dollars","47","millions","6","v122689665","1.1.14.1","6240.6","","","","1"
"2019","Canada","2016A000011124","Imports from","Advertising","All trading partners","Canadian dollars","47","millions","6","v122689706","1.1.15.1","413.6","","","","1"
"2020","Canada","2016A000011124","Imports from","Advertising","All trading partners","Canadian dollars","47","millions","6","v122689706","1.1.15.1","1279.0","","","","1"
"2021","Canada","2016A000011124","Imports from","Advertising","All trading partners","Canadian dollars","47","millions","6","v122689706","1.1.15.1","1513.6","","","","1"
"2022","Canada","2016A000011124","Imports from","Advertising","All trading partners","Canadian dollars","47","millions","6","v122689706","1.1.15.1","1564.2","","","","1"
"2023","Canada","2016A000011124","Imports from","Advertising","All trading partners","Canadian dollars","47","millions","6","v122689706","1.1.15.1","1584.2","","","","1"
"2019","Canada","2016A000011124","Imports from","Architecture","All trading partners","Canadian dollars","47","millions","6","v122689747","1.1.16.1","422.6","","","","1"
"2020","Canada","2016A000011124","Imports from","Architecture","All trading partners","Canadian dollars","47","millions","6","v122689747","1.1.16.1","450.3","","","","1"
"2021","Canada","2016A000011124","Imports from","Architecture","All trading partners","Canadian dollars","47","millions","6","v122689747","1.1.16.1","501.4","","","","1"
"2022","Canada","2016A000011124","Imports from","Architecture","All trading partners","Canadian dollars","47","millions","6","v122689747","1.1.16.1","655.5","","","","1"
"2023","Canada","2016A000011124","Imports from","Architecture","All trading partners","Canadian dollars","47","millions","6","v122689747","1.1.16.1","647.4","","","","1"
"2019","Canada","2016A000011124","Imports from","Design","All trading partners","Canadian dollars","47","millions","6","v122689788","1.1.17.1","1353.7","","","","1"
"2020","Canada","2016A000011124","Imports from","Design","All trading partners","Canadian dollars","47","millions","6","v122689788","1.1.17.1","1444.4","","","","1"
"2021","Canada","2016A000011124","Imports from","Design","All trading partners","Canadian dollars","47","millions","6","v122689788","1.1.17.1","1953.9","","","","1"
"2022","Canada","2016A000011124","Imports from","Design","All trading partners","Canadian dollars","47","millions","6","v122689788","1.1.17.1","2259.9","","","","1"
"2023","Canada","2016A000011124","Imports from","Design","All trading partners","Canadian dollars","47","millions","6","v122689788","1.1.17.1","2623.1","","","","1"
"2019","Canada","2016A000011124","Imports from","Written and published works","All trading partners","Canadian dollars","47","millions","6","v122689829","1.1.18.1","5139.6","","","","1"
"2020","Canada","2016A000011124","Imports from","Written and published works","All trading partners","Canadian dollars","47","millions","6","v122689829","1.1.18.1","7582.0","","","","1"
"2021","Canada","2016A000011124","Imports from","Written and published works","All trading partners","Canadian dollars","47","millions","6","v122689829","1.1.18.1","8735.4","","","","1"
"2022","Canada","2016A000011124","Imports from","Written and published works","All trading partners","Canadian dollars","47","millions","6","v122689829","1.1.18.1","8943.6","","","","1"
"2023","Canada","2016A000011124","Imports from","Written and published works","All trading partners","Canadian dollars","47","millions","6","v122689829","1.1.18.1","9193.8","","","","1"
"2019","Canada","2016A000011124","Imports from","Books","All trading partners","Canadian dollars","47","millions","6","v122689870","1.1.19.1","2159.6","","","","1"
"2020","Canada","2016A000011124","Imports from","Books","All trading partners","Canadian dollars","47","millions","6","v122689870","1.1.19.1","2553.9","","","","1"
"2021","Canada","2016A000011124","Imports from","Books","All trading partners","Canadian dollars","47","millions","6","v122689870","1.1.19.1","3030.9","","","","1"
"2022","Canada","2016A000011124","Imports from","Books","All trading partners","Canadian dollars","47","millions","6","v122689870","1.1.19.1","3086.1","","","","1"
"2023","Canada","2016A000011124","Imports from","Books","All trading partners","Canadian dollars","47","millions","6","v122689870","1.1.19.1","3082.8","","","","1"
"2019","Canada","2016A000011124","Imports from","Periodicals","All trading partners","Canadian dollars","47","millions","6","v122689911","1.1.20.1","714.4","","","","1"
"2020","Canada","2016A000011124","Imports from","Periodicals","All trading partners","Canadian dollars","47","millions","6","v122689911","1.1.20.1","1248.9","","","","1"
"2021","Canada","2016A000011124","Imports from","Periodicals","All trading partners","Canadian dollars","47","millions","6","v122689911","1.1.20.1","1359.9","","","","1"
"2022","Canada","2016A000011124","Imports from","Periodicals","All trading partners","Canadian dollars","47","millions","6","v122689911","1.1.20.1","1360.5","","","","1"
"2023","Canada","2016A000011124","Imports from","Periodicals","All trading partners","Canadian dollars","47","millions","6","v122689911","1.1.20.1","1353.2","","","","1"
"2019","Canada","2016A000011124","Imports from","Newspapers","All trading partners","Canadian dollars","47","millions","6","v122689952","1.1.21.1","330.4","","","","1"
"2020","Canada","2016A000011124","Imports from","Newspapers","All trading partners","Canadian dollars","47","millions","6","v122689952","1.1.21.1","1162.3","","","","1"
"2021","Canada","2016A000011124","Imports from","Newspapers","All trading partners","Canadian dollars","47","millions","6","v122689952","1.1.21.1","1423.9","","","","1"
"2022","Canada","2016A000011124","Imports from","Newspapers","All trading partners","Canadian dollars","47","millions","6","v122689952","1.1.21.1","1440.7","","","","1"
"2023","Canada","2016A000011124","Imports from","Newspapers","All trading partners","Canadian dollars","47","millions","6","v122689952","1.1.21.1","1488.1","","","","1"
"2019","Canada","2016A000011124","Imports from","Other published works","All trading partners","Canadian dollars","47","millions","6","v122689993","1.1.22.1","245.3","","","","1"
"2020","Canada","2016A000011124","Imports from","Other published works","All trading partners","Canadian dollars","47","millions","6","v122689993","1.1.22.1","313.1","","","","1"
"2021","Canada","2016A000011124","Imports from","Other published works","All trading partners","Canadian dollars","47","millions","6","v122689993","1.1.22.1","360.5","","","","1"
