subgroup,value,mae,rmse,r2,n_samples
genre,contemporary,601.1964076820936,744.5421384962415,0.7452828105332959,12
genre,classic,662.9261994708153,770.1032079552589,0.7749043318419135,5
genre,family,421.5900561445519,465.89973488228765,-30.477642225532513,3
season,spring,621.7577658508256,754.3263797720535,0.7917118861853523,9
season,fall,571.2450240199582,677.9929994648683,0.7674273364566557,9
season,winter,528.3664745679009,710.7929531422305,0.11580528529358669,2
