fold_id,actual,heuristic,knn,baseline_model,full_model,category
0,3670.0,2875.0,4046.604042937845,4516.3359375,3464.83251953125,touring_contemporary_company
0,3423.0,3194.625,2452.24232266519,3313.56494140625,3459.95849609375,adult_literary_drama
0,5275.0,4339.375,5293.660981820386,6388.6142578125,5180.37548828125,romantic_tragedy
0,3209.0,3248.25,4918.831077779223,2514.033447265625,2969.655517578125,family_classic
0,4853.0,4321.5,4510.171172270947,7165.91162109375,4216.845703125,pop_ip
0,4761.0,3479.25,3281.016477870457,3555.18701171875,4159.2919921875,touring_contemporary_company
0,3498.0,3198.375,4125.697987467594,3407.596435546875,3415.09326171875,family_classic
1,1926.0,1865.5,3852.960678789404,4053.5703125,1785.02294921875,touring_contemporary_company
1,2856.0,2873.0,4478.7595504644705,5176.5693359375,2614.736328125,touring_contemporary_company
1,2313.0,2359.625,2824.9269219190596,1578.6217041015625,2169.396484375,adult_literary_drama
1,3304.0,3198.25,2517.745093007553,2525.62939453125,3214.332275390625,adult_literary_drama
1,3409.0,3149.5,4403.703890471948,5037.7431640625,3347.4169921875,family_classic
1,5701.0,4474.875,5206.66643274587,5384.2646484375,5253.2216796875,romantic_tragedy
1,512.0,1574.125,2823.723490141897,2408.916259765625,1783.3826904296875,contemporary_mixed_bill
2,2174.0,2908.25,4510.923177814646,3565.911376953125,1449.431640625,contemporary_mixed_bill
2,3412.0,3034.75,4361.489189637336,2870.159423828125,3407.513427734375,pop_ip
2,1886.0,2539.25,5404.724582445311,2947.34521484375,537.3236083984375,classic_comedy
2,2978.0,2698.375,3515.352550070971,3621.30810546875,2855.742919921875,family_classic
2,1322.0,1779.1249999999998,2558.596157534611,3007.721435546875,1042.4544677734375,contemporary
2,4536.0,3928.0,5338.930019205603,5485.75927734375,6889.8076171875,classic_romance
2,2564.0,2634.5,4352.021596965165,1659.304931640625,2564.5634765625,contemporary_mixed_bill
3,7430.0,5365.625,3840.736192160244,4443.31201171875,5779.0810546875,pop_ip
3,6886.0,5113.0,4820.476610858738,5395.8896484375,5510.36279296875,family_classic
3,5122.0,3747.875,3358.9029533422963,3190.61962890625,4800.7958984375,touring_contemporary_company
3,3975.0,3464.375,4020.9832040784636,2444.7802734375,3685.134521484375,romantic_tragedy
3,4175.0,2981.25,2790.22666369313,2451.2666015625,3656.7939453125,touring_contemporary_company
3,4893.0,3625.875,3024.0566411264563,4316.0654296875,4813.3505859375,touring_contemporary_company
3,2614.0,2605.75,3131.123562634217,3912.788818359375,2542.5654296875,touring_contemporary_company
4,5812.0,4688.5,4214.568485578728,3426.6572265625,5807.15673828125,family_classic
4,1944.0,2340.125,4837.875591419445,3238.486572265625,1952.375,contemporary
4,5164.0,4267.0,4870.029285324924,2569.7919921875,5183.00341796875,adult_literary_drama
4,2438.0,2393.375,2088.0345175050425,1455.9749755859375,2302.826416015625,romantic_tragedy
4,5752.0,4445.375,4380.119838733884,6493.451171875,5911.36083984375,pop_ip
4,3353.0,3077.75,2756.110518977495,3451.8583984375,3344.371337890625,touring_contemporary_company
4,2562.0,2863.5,4583.484725733736,3031.339111328125,2300.262451171875,contemporary_mixed_bill
