title,canonical_title,category,gender,wiki,trends,youtube,spotify,prior_total_tickets,prior_run_count,ticket_median_prior,years_since_last_run,is_remount_recent,is_remount_medium,run_count_prior,month_of_opening,holiday_flag,target_ticket_median
Jewels,jewels,contemporary_mixed_bill,co,62,18,72,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Jungle Book,jungle book,family_classic,male,76,22,100,59,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
La Bayadere,la bayadere,romantic_tragedy,female,62,22,75,37,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
La Fille mal gardée,la fille mal gardee,classic_comedy,female,59,38,82,47,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
La Sylphide,la sylphide,romantic_tragedy,co,61,22,67,30,2438.0,1.0,2438.0,1.1909650924024642,1,0,1,9.0,0,2438.0
La Traviata,la traviata,adult_literary_drama,female,76,24,88,62,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Lady Chatterley's Lover,lady chatterley's lover,adult_literary_drama,female,78,46,87,79,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Lady Macbeth,lady macbeth,adult_literary_drama,female,72,24,77,35,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Le Corsaire,le corsaire,romantic_tragedy,male,68,18,75,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Les Sylphides,les sylphides,romantic_tragedy,female,58,14,70,40,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Love in the Time of Cholera,love in the time of cholera,adult_literary_drama,male,73,54,84,100,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Manon,manon,romantic_tragedy,female,70,22,78,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Mayerling,mayerling,adult_literary_drama,male,62,18,70,48,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Midsummer Night’s Dream,midsummer nights dream,classic_romance,male,82,46,79,47,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Momix,momix,touring_contemporary_company,co,48,10,70,3,4175.0,1.0,4175.0,7.770020533880904,0,0,1,2.0,0,4175.0
Movin' Out,movin' out,pop_ip,male,72,35,85,78,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Nijinsky,nijinsky,contemporary,male,70,16,69,2,1322.0,1.0,1322.0,0.09856262833675565,1,0,1,10.0,0,1322.0
Once Upon a Time,once upon a time,family_classic,co,59,32,68,87,3409.0,1.0,3409.0,0.1943874058863792,1,0,1,9.0,0,3409.0
Onegin,onegin,romantic_tragedy,male,72,26,82,58,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Opera - the Ballet,opera - the ballet,contemporary_mixed_bill,female,44,36,55,32,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Othello,othello,adult_literary_drama,male,81,14,75,44,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Our Canada - Gordon Lightfoot,our canada - gordon lightfoot,pop_ip,co,81,58,92,72,4853.0,1.0,4853.0,8.550308008213552,0,0,1,5.0,0,4853.0
Paquita,paquita,classic_romance,female,52,10,62,32,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Peter Pan,peter pan,family_classic,male,81,18,90,70,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Phi – David Bowie,phi - david bowie,pop_ip,male,71,34,75,78,5752.0,1.0,5752.0,3.701574264202601,0,1,1,3.0,0,5752.0
Pinocchio,pinocchio,family_classic,male,80,18,88,46,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Polyphonia,polyphonia,contemporary_mixed_bill,co,48,12,58,38,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Pulcinella,pulcinella,classic_comedy,male,68,20,70,36,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Push Comes to Shove,push comes to shove,contemporary,male,52,14,62,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Raymonda,raymonda,classic_romance,female,55,12,65,35,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Rite of Spring,rite of spring,contemporary,co,74,28,82,43,0.0,0.0,0.0,1.5550992470910336,1,0,1,5.0,0,0.0
Rodeo,rodeo,pop_ip,co,54,20,68,48,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Romeo and Juliet,romeo and juliet,romantic_tragedy,co,86,32,95,80,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Serenade,serenade,contemporary,co,54,16,68,38,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Shaping Sound,shaping sound,touring_contemporary_company,male,49,26,75,40,4893.0,1.0,4893.0,7.860369609856263,0,0,1,1.0,1,4893.0
Sinatra Suite,sinatra suite,pop_ip,male,65,28,78,72,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Slava's Snow Show,slava's snow show,family_classic,male,54,34,78,84,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Sleeping Beauty,sleeping beauty,classic_romance,female,77,30,92,70,9072.0,2.0,4536.0,2.0725530458590007,0,1,1,11.0,1,4536.0
Swan Lake,swan lake,romantic_tragedy,female,80,18,95,71,5701.0,1.0,5701.0,4.0629705681040384,0,0,1,11.0,1,5701.0
Taj Express,taj express,touring_contemporary_company,male,44,22,72,42,4761.0,1.0,4761.0,6.193018480492813,0,0,1,9.0,0,4761.0
Tango Fire,tango fire,touring_contemporary_company,co,72,20,78,52,3353.0,1.0,3353.0,8.172484599589323,0,0,1,9.0,0,3353.0
The Catherine Wheel,the catherine wheel,contemporary,female,48,12,58,38,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Firebird,the firebird,romantic_tragedy,female,74,22,85,48,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Four Temperaments,the four temperaments,contemporary,co,48,12,55,30,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Great Gatsby (2024),the great gatsby 2024,adult_literary_drama,male,85,32,92,68,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Lady of the Camellias,the lady of the camellias,adult_literary_drama,female,65,20,75,52,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Leaves Are Fading,the leaves are fading,contemporary_mixed_bill,co,48,10,55,35,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
