title,canonical_title,category,gender,wiki,trends,youtube,spotify,prior_total_tickets,prior_run_count,ticket_median_prior,years_since_last_run,is_remount_recent,is_remount_medium,run_count_prior,month_of_opening,holiday_flag,target_ticket_median
Pas/Parts,pasparts,contemporary,co,64,18,55,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Peer Gynt,peer gynt,adult_literary_drama,male,72,3,62,61,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Peter and the Wolf,peter and the wolf,family_classic,male,72,3,72,48,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Petite Mort,petite mort,contemporary,co,71,22,68,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Petrouchka,petrouchka,adult_literary_drama,male,66,20,70,56,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Poème de l'extase,poeme de l'extase,contemporary,co,52,34,50,20,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Polovtsian Dances,polovtsian dances,contemporary,co,60,34,65,52,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Prodigal Son,prodigal son,adult_literary_drama,male,78,7,68,74,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Puss in Boots,puss in boots,family_classic,male,73,24,68,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Remanso,remanso,contemporary,co,29,14,50,41,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Requiem (MacMillan),requiem macmillan,contemporary,co,29,38,55,66,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Requiem for a Rose,requiem for a rose,contemporary,co,59,36,48,66,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Rhapsody,rhapsody,contemporary,co,53,57,60,75,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Russian Seasons,russian seasons,contemporary,co,32,30,52,36,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Scenes de Ballet,scenes de ballet,contemporary,co,25,32,55,69,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Sechs Tänze,sechs tanze,classic_comedy,co,78,2,55,25,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Secus,secus,contemporary,co,30,10,45,4,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Seven Sonatas,seven sonatas,contemporary,co,74,26,55,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Shostakovich Trilogy,shostakovich trilogy,contemporary,co,80,2,52,54,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Sinfonietta,sinfonietta,contemporary,co,39,22,58,34,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Sleepless,sleepless,adult_literary_drama,co,79,7,50,70,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Snow White,snow white,family_classic,female,80,11,85,67,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Solo,solo,contemporary,co,55,59,48,83,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Spartacus,spartacus,adult_literary_drama,male,83,20,78,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Square Dance,square dance,contemporary,co,64,3,55,62,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Stepping Stones,stepping stones,contemporary,co,50,30,52,49,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Stravinsky Violin Concerto,stravinsky violin concerto,contemporary,co,49,52,60,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Sylvia,sylvia,classic_romance,female,46,71,72,60,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Symphonic Variations (Ashton),symphonic variations ashton,contemporary,co,36,58,58,43,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Symphony in C,symphony in c,contemporary,co,24,26,65,79,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Symphony in Three Movements,symphony in three movements,contemporary,co,43,2,55,38,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Symphony of Psalms,symphony of psalms,contemporary,co,52,36,52,33,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Tarantella,tarantella,contemporary,co,65,4,55,66,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Tchaikovsky Pas de Deux,tchaikovsky pas de deux,classic_romance,co,52,2,70,62,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Thais Pas de Deux,thais pas de deux,classic_romance,co,38,34,55,60,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Age of Anxiety,the age of anxiety,contemporary,co,57,36,55,47,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Bright Stream,the bright stream,classic_comedy,co,46,34,62,60,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Bronze Horseman,the bronze horseman,adult_literary_drama,male,62,38,58,79,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Cage,the cage,contemporary,female,31,69,58,44,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Concert,the concert,classic_comedy,co,33,23,65,70,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Contract,the contract,contemporary,co,75,52,48,73,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Dream,the dream,classic_romance,co,74,70,68,64,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Fiddle and the Drum,the fiddle and the drum,pop_ip,co,44,2,55,35,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Flames of Paris,the flames of paris,adult_literary_drama,co,57,38,62,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Fountain of Bakhchisarai,the fountain of bakhchisarai,romantic_tragedy,female,40,56,60,94,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Four Seasons (Robbins),the four seasons robbins,contemporary,co,51,52,65,78,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Frog Prince,the frog prince,family_classic,male,69,2,65,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Golden Age,the golden age,adult_literary_drama,co,72,9,58,74,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Invitation,the invitation,adult_literary_drama,female,42,29,52,59,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Jungle Book,the jungle book,family_classic,male,76,4,82,60,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Little Humpbacked Horse,the little humpbacked horse,family_classic,male,34,54,68,82,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Man in Black,the man in black,contemporary,male,38,6,55,90,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Pharaoh's Daughter,the pharaoh's daughter,classic_romance,female,68,44,62,49,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Pied Piper,the pied piper,family_classic,male,80,2,72,70,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Prince & the Pauper,the prince the pauper,family_classic,male,68,46,68,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Red Poppy,the red poppy,adult_literary_drama,female,48,2,55,49,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Red Shoes,the red shoes,adult_literary_drama,female,73,3,72,90,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Rite of Spring,the rite of spring,contemporary,co,74,2,82,43,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Seagull,the seagull,adult_literary_drama,female,71,2,58,49,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Seasons' Canon,the seasons' canon,contemporary,co,41,36,62,84,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Secret Garden,the secret garden,family_classic,female,79,8,72,72,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Sleeping Beauty,the sleeping beauty,classic_romance,female,77,4,90,82,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Snow Maiden,the snow maiden,romantic_tragedy,female,55,30,58,33,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Steadfast Tin Soldier,the steadfast tin soldier,family_classic,male,63,50,62,20,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Two of Us,the two of us,contemporary,co,33,26,45,92,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Third Symphony of Gustav Mahler,third symphony of gustav mahler,contemporary,co,65,62,55,29,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Trois Gnossiennes,trois gnossiennes,contemporary,co,67,34,52,27,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Valse Fantaisie,valse fantaisie,contemporary,co,70,30,58,48,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Variations Sérieuses,variations serieuses,contemporary,co,43,40,52,57,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Vienna Waltzes,vienna waltzes,contemporary,co,50,28,62,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Watermill,watermill,contemporary,male,66,18,55,73,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Western Symphony,western symphony,contemporary,co,33,32,58,79,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Whereabouts Unknown,whereabouts unknown,contemporary,co,32,38,45,63,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Whipped Cream,whipped cream,family_classic,co,66,44,62,66,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Wings of Wax,wings of wax,contemporary,co,35,24,52,53,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Winter's Tale,winter's tale,romantic_tragedy,co,70,26,70,38,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
