Segment Label Short,DATA ATTRIBUTE,pop_ip,"classic_romance, classic_comedy, romantic_comedy",contemporary,family_classic,romantic_tragedy,dramatic,INDEX REPORT,Pop Mus Bal,Classic Bal,CM Bill,Family Bal,CSNA,Contemp Narr,Cult Narr,,
dim_12_pct,Live: Major: Concerts,47%,38%,43%,40%,42%,43%,Live: Major: Concerts,105,84,95,88,93,99,93,,
dim_13_pct,Live: Major: Arts,76%,82%,76%,78%,75%,77%,Live: Major: Arts,122,131,122,125,120,124,123,,
dim_14_pct,Live: Major: Sports,27%,25%,26%,28%,26%,26%,Live: Major: Sports,86,78,84,90,83,86,77,,
dim_15_pct,Live: Major: Family,7%,8%,7%,10%,7%,8%,Live: Major: Family,77,87,82,116,81,82,92,,
dim_16_pct,Live Major: Multi Categories,45%,42%,43%,44%,40%,43%,Live Major: Multi Categories,116,107,109,112,103,115,107,,
dim_17_pct,Live: Frequency: Active Buyers,60%,66%,56%,61%,50%,64%,Live: Frequency: Active Buyers,123,136,116,126,103,144,118,,
dim_18_pct,Live: Frequency: Repeat Buyers,67%,66%,67%,66%,65%,67%,Live: Frequency: Repeat Buyers,115,114,114,114,112,116,112,,
dim_19_pct,Live: Timing: Early Buyers,37%,32%,34%,34%,33%,35%,Live: Timing: Early Buyers,115,100,105,105,104,119,102,,
dim_20_pct,Live: Timing: Late Buyers,38%,38%,39%,36%,37%,38%,Live: Timing: Late Buyers,107,106,107,101,103,106,108,,
dim_21_pct,Live: Product: Premium Buyers,18%,18%,19%,18%,19%,18%,Live: Product: Premium Buyers,129,126,130,129,130,129,124,,
dim_22_pct,Live: Product: Ancillary Upsell Buyers,2%,2%,2%,2%,2%,2%,Live: Product: Ancillary Upsell Buyers,96,96,95,116,112,99,98,,
dim_23_pct,Live: Spend: High Spenders (>$1K),5%,4%,4%,5%,4%,5%,Live: Spend: High Spenders (>$1K),164,145,133,154,136,160,147,,
dim_24_pct,Live: Distance: Travelers (>500 Miles),14%,12%,13%,12%,12%,14%,Live: Distance: Travelers (>500 Miles),109,91,99,96,96,113,101,,
dim_25_pct,Generation: Z,5%,5%,6%,2%,20%,9%,Generation: Z,177,184,194,67,698,349,279,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
